#hg19_chr	hg19_start	hg19_end	# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene Symbols	Gene Name	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
1	948876	949919	chr1	1013496	1014539	1p36.33	1p36.33	147571	ISG15, G1P2, IFI15, IMD38	ISG15 ubiquitin-like modifier	ISG15	9636	ENSG00000187608		Immunodeficiency 38, 616126 (3), Autosomal recessive	Isg15 (MGI:1855694)
1	955481	991498	chr1	1020101	1056118	1pter-p32	1p36.33	103320	AGRN, CMS8	Agrin	AGRN	375790	ENSG00000188157		Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessive	Agrn (MGI:87961)
1	1146705	1152191	chr1	1211325	1216811	1p36	1p36.33	600315	TNFRSF4, TXGP1L, OX40, ACT35, IMD16	Tumor necrosis factor receptor superfamily, member 4	TNFRSF4	7293	ENSG00000186827	mutation identified in 1 IMD16 family	?Immunodeficiency 16, 615593 (3), Autosomal recessive	Tnfrsf4 (MGI:104512)
1	1167616	1170420	chr1	1232236	1235040	1p36.3	1p36.33	615291	B3GALT6, SEMDJL1, EDSSPD2, ALGAZ	UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6	B3GALT6	126792	ENSG00000176022		Al-Gazali syndrome, 609465 (3); Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3), Autosomal recessive	B3galt6 (MGI:2152819)
1	1270657	1284797	chr1	1335277	1349417	1p36	1p36.33	601365	DVL1, DRS2	Dishevelled segment polarity protein 1	DVL1	1855	ENSG00000107404		Robinow syndrome, autosomal dominant 2, 616331 (3), Autosomal dominant	Dvl1 (MGI:94941)
1	1447522	1470066	chr1	1512142	1534686	1p36.33	1p36.33	612316	ATAD3A, HAYOS, PHRINL	ATPase family, AAA domain-containing, member 3A	ATAD3A	55210	ENSG00000197785		Harel-Yoon syndrome, 617183 (3), Autosomal dominant, Autosomal recessive; Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal, 618810 (3), Autosomal recessive	Atad3a (MGI:1919214)
1	1470157	1476003	chr1	1534777	1540623	1p36.33	1p36.33	616101	TMEM240, C1orf70, SCA21	Transmembrane protein 240	TMEM240	339453	ENSG00000205090		Spinocerebellar ataxia 21, 607454 (3), Autosomal dominant	Tmem240 (MGI:3648074)
1	1716723	1822555	chr1	1785284	1891116	1pter-p31.2	1p36.33	139380	GNB1, MRD42	Guanine nucleotide-binding protein, beta polypeptide-1	GNB1	2782	ENSG00000078369		Mental retardation, autosomal dominant 42, 616973 (3), Autosomal dominant; Leukemia, acute lymphoblastic, somatic, 613065 (3)	Gnb1 (MGI:95781)
1	1950783	1962196	chr1	2019344	2030757	1p36.3	1p36.33	137163	GABRD, GEFSP5, EIG10, EJM7	Gamma-aminobutyric acid (GABA) A receptor, delta	GABRD	2563	ENSG00000187730		{Epilepsy, juvenile myoclonic, susceptibility to}, 613060 (3), Autosomal dominant; {Epilepsy, idiopathic generalized, 10}, 613060 (3), Autosomal dominant; {Epilepsy, generalized, with febrile seizures plus, type 5, susceptibility to}, 613060 (3), Autosomal dominant	Gabrd (MGI:95622)
1	2159757	2241651	chr1	2228318	2310212	1p36.3	1p36.33-p36.32	164780	SKI, SGS	SKI proto-oncogene	SKI	6497	ENSG00000157933	formerly mapped to 1q22-q24	Shprintzen-Goldberg syndrome, 182212 (3), Autosomal dominant	Ski (MGI:98310)
1	2335412	2345265	chr1	2403973	2413826	1p36.32	1p36.32	602859	PEX10, NALD, PBD6A, PBD6B	Peroxisome biogenesis factor 10	PEX10	5192	ENSG00000157911		Peroxisome biogenesis disorder 6B, 614871 (3), Autosomal recessive; Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3), Autosomal recessive	Pex10 (MGI:2684988)
1	2985766	3355184	chr1	3069202	3438620	1p36.3	1p36.32	605557	PRDM16, MEL1, LVNC8, CMD1LL	PR domain-containing protein 16	PRDM16	63976	ENSG00000142611		Left ventricular noncompaction 8, 615373 (3), Autosomal dominant; Cardiomyopathy, dilated, 1LL, 615373 (3), Autosomal dominant	Prdm16 (MGI:1917923)
1	3689312	3692519	chr1	3772748	3775955	1p36	1p36.32	615242	SMIM1, VEL	Small integral membrane protein 1	SMIM1	388588	ENSG00000235169		[Blood group, Vel system], 615264 (3), Autosomal recessive	Smim1 (MGI:1916109)
1	3728649	3773796	chr1	3812085	3857232	1p36.32	1p36.32	616690	CEP104, GLYBP, KIAA0562, JBTS25	Centrosomal protein, 104kD	CEP104	9731	ENSG00000116198		Joubert syndrome 25, 616781 (3), Autosomal recessive	Cep104 (MGI:2687282)
1	5922869	6052484	chr1	5862809	5992424	1p36	1p36.31	607215	NPHP4, SLSN4	Nephrocystin 4	NPHP4	261734	ENSG00000131697		Nephronophthisis 4, 606966 (3), Autosomal recessive; Senior-Loken syndrome 4, 606996 (3), Autosomal recessive	Nphp4 (MGI:2384210)
1	6484835	6521426	chr1	6424775	6461366	1p36.3-p36.1	1p36.31	606351	ESPN, USH1M	Espin	ESPN	83715	ENSG00000187017	mutation identified in 1 USH1M family	?Usher syndrome, type 1M, 618632 (3), Autosomal recessive; Deafness, autosomal recessive 36, 609006 (3), Autosomal recessive; Deafness, neurosensory, without vestibular involvement, autosomal dominant, 609006 (3), Autosomal recessive	Espn (MGI:1861630)
1	6526151	6580151	chr1	6466091	6520091	1p36	1p36.31	611101	PLEKHG5, KIAA0720, DSMA4, CMTRIC	Pleckstrin homology domain- and RhoGEF domain-containing protein G5	PLEKHG5	57449	ENSG00000171680		Spinal muscular atrophy, distal, autosomal recessive, 4, 611067 (3), Autosomal recessive; Charcot-Marie-Tooth disease, recessive intermediate C, 615376 (3), Autosomal recessive	Plekhg5 (MGI:2652860)
1	6845383	7829765	chr1	6785323	7769705	1p36	1p36.31-p36.23	611501	CAMTA1, KIAA0833, CANPMR	Calmodulin-binding transcription activator 1	CAMTA1	23261	ENSG00000171735		Cerebellar ataxia, nonprogressive, with mental retardation, 614756 (3), Autosomal dominant	Camta1 (MGI:2140230)
1	7844344	7905240	chr1	7784284	7845180	1p36.33-p36.21	1p36.23	603427	PER3, FASPS3	Period circadian regulator 3	PER3	8863	ENSG00000049246	mutation identified in 1 FASPS3 family	?Advanced sleep phase syndrome, familial, 3, 616882 (3), Autosomal dominant	Per3 (MGI:1277134)
1	8021713	8045564	chr1	7961653	7985504	1p36	1p36.23	602533	DJ1, PARK7	Oncogene DJ-1	PARK7	11315	ENSG00000116288		Parkinson disease 7, autosomal recessive early-onset, 606324 (3), Autosomal recessive	Park7 (MGI:2135637)
1	8378173	8404226	chr1	8318113	8344166	1p36.2-p36.1	1p36.23	605763	SLC45A1, DNB5, IDDNPF	Solute carrier family 45, member 1	SLC45A1	50651	ENSG00000162426		Intellectual developmental disorder with neuropsychiatric features, 617532 (3), Autosomal recessive	Slc45a1 (MGI:2653235)
1	8412463	8877698	chr1	8352403	8817639	1p36.2-p36.1	1p36.23	605226	RERE, NEDBEH	RE repeats-encoding gene	RERE	473	ENSG00000142599		Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart, 616975 (3), Autosomal dominant	Rere (MGI:2683486)
1	8921058	8938744	chr1	8860999	8878685	1pter-p36.13	1p36.23	172430	ENO1, PPH, MPB1	Enolase-1, alpha	ENO1	2023	ENSG00000074800		Enolase deficiency (1)	Eno1b,Eno1 (MGI:95393,MGI:3648653)
1	9294825	9331395	chr1	9234766	9271336	1p36	1p36.22	138090	H6PD, GDH, G6PDH, CORTRD1	Hexose-6-phosphate dehydrogenase	H6PD	9563	ENSG00000049239	digenic triallelic mutations with HSD11B1	Cortisone reductase deficiency 1, 604931 (3), Autosomal recessive	H6pd (MGI:2140356)
1	9689946	9789171	chr1	9629888	9729113	1p36.2	1p36.22	602839	PIK3CD, APDS, IMD14	Phosphatidylinositol 3-kinase, catalytic, 110kD, delta	PIK3CD	5293	ENSG00000171608		Immunodeficiency 14, 615513 (3), Autosomal dominant	Pik3cd (MGI:1098211)
1	10002980	10056941	chr1	9942922	9996883	1p36.22	1p36.22	608700	NMNAT1, NMNAT, PNAT1, LCA9	Nicotinamide nucleotide adenylyltransferase 1	NMNAT1	64802	ENSG00000173614		Leber congenital amaurosis 9, 608553 (3), Autosomal recessive	Nmnat1 (MGI:1913704)
1	10270627	10441660	chr1	10210569	10381602	1p36.2	1p36.22	605995	KIF1B, CMT2A, CMT2A1, NBLST1	Kinesin family member 1B	KIF1B	23095	ENSG00000054523	mutation identified in 1 CMT2A1 family	Pheochromocytoma, 171300 (3), Autosomal dominant; ?Charcot-Marie-Tooth disease, type 2A1, 118210 (3), Autosomal dominant; {Neuroblastoma, susceptibility to, 1}, 256700 (3), Autosomal dominant, Somatic mutation	Kif1b (MGI:108426)
1	10535002	10690814	chr1	10474945	10630757	1p36.2	1p36.22	601791	PEX14, PBD13A	Peroxisome biogenesis factor 14	PEX14	5195	ENSG00000142655		Peroxisome biogenesis disorder 13A (Zellweger), 614887 (3), Autosomal recessive	Pex14 (MGI:1927868)
1	11072710	11090584	chr1	11012653	11030527	1p36.2	1p36.22	605078	TARDBP, TDP43, ALS10	TAR DNA-binding protein	TARDBP	23435	ENSG00000120948	pseudogenes on 2, 6, 8, 13, 20	Frontotemporal lobar degeneration, TARDBP-related, 612069 (3), Autosomal dominant; Amyotrophic lateral sclerosis 10, with or without FTD, 612069 (3), Autosomal dominant	Tardbp (MGI:2387629)
1	11086579	11107295	chr1	11026522	11047238	1p36.3-p36.2	1p36.22	605102	MASP2	Mannan-binding lectin serine protease 2	MASP2	10747	ENSG00000009724		MASP2 deficiency, 613791 (3), Autosomal recessive	Masp2 (MGI:1330832)
1	11166591	11333553	chr1	11106534	11273496	1p36.2	1p36.22	601231	MTOR, FRAP1, SKS	Mechanistic target of rapamycin	MTOR	2475	ENSG00000198793		Smith-Kingsmore syndrome, 616638 (3), Autosomal dominant; Focal cortical dysplasia, type II, somatic, 607341 (3)	Mtor (MGI:1928394)
1	11333254	11359628	chr1	11273197	11299571	1p36.3	1p36.22	611632	UBIAD1, TERE1, SCCD	UbiA prenyltransferase domain-containing protein 1	UBIAD1	29914	ENSG00000120942		Corneal dystrophy, Schnyder type, 121800 (3), Autosomal dominant	Ubiad1 (MGI:1918957)
1	11734536	11751677	chr1	11674479	11691620	1p36	1p36.22	604094	MAD2L2, MAD2B, FANCV	Mitotic arrest-deficient 2 like 2	MAD2L2	10459	ENSG00000116670	mutation identified in 1 FANCV patient; pseudogene on 14q21-q23	?Fanconi anemia, complementation group V, 617243 (3), Autosomal recessive	Mad2l2 (MGI:1919140)
1	11845779	11866159	chr1	11785722	11806102	1p36.3	1p36.22	607093	MTHFR	Methylenetetrahydrofolate reductase	MTHFR	4524	ENSG00000177000		{Vascular disease, susceptibility to} (3); {Schizophrenia, susceptibility to}, 181500 (3), Autosomal dominant; Homocystinuria due to MTHFR deficiency, 236250 (3), Autosomal recessive; {Neural tube defects, susceptibility to}, 601634 (3), Autosomal recessive; {Thromboembolism, susceptibility to}, 188050 (3), Autosomal dominant	Mthfr (MGI:106639)
1	11905765	11907839	chr1	11845708	11847782	1p36.2	1p36.22	108780	NPPA, PND, ANP, ATFB6, ATRST2	Natriuretic peptide precursor A	NPPA	4878	ENSG00000175206		Atrial standstill 2, 615745 (3), Autosomal recessive; Atrial fibrillation, familial, 6, 612201 (3), Autosomal dominant	Nppa (MGI:97367)
1	11994773	12035593	chr1	11934716	11975536	1p36.3-p36.2	1p36.22	153454	PLOD1, LH1, LLH, EDSKCL1	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase)	PLOD1	5351	ENSG00000083444		Ehlers-Danlos syndrome, kyphoscoliotic type, 1, 225400 (3), Autosomal recessive	Plod1 (MGI:99907)
1	12040237	12073571	chr1	11980180	12013514	1p36.2	1p36.22	608507	MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B	Mitofusin 2	MFN2	9927	ENSG00000116688		Hereditary motor and sensory neuropathy VIA, 601152 (3), Autosomal dominant; Charcot-Marie-Tooth disease, axonal, type 2A2B, 617087 (3), Autosomal recessive; Charcot-Marie-Tooth disease, axonal, type 2A2A, 609260 (3), Autosomal dominant	Mfn2 (MGI:2442230)
1	12290086	12572098	chr1	12230029	12512046	1p36.22-p36.21	1p36.22-p36.21	608877	VPS13D, SCAR4	Vacuolar protein sorting 13 homolog D	VPS13D	55187	ENSG00000048707		Spinocerebellar ataxia, autosomal recessive 4, 607317 (3), Autosomal recessive	Vps13d (MGI:2448530)
1	15764937	15775741	chr1	15438441	15449246	1p36.21	1p36.21	601405	CTRC, CLCR	Chymotrypsin	CTRC	11330	ENSG00000162438		{Pancreatitis, chronic, susceptibility to}, 167800 (3), Autosomal dominant	Ctrc (MGI:1923951)
1	15783226	15798585	chr1	15456731	15472090	1p36.2	1p36.21	609443	CELA2A, ELA2A, AOMS4	Chymotrypsin-like elastase family, member 2A	CELA2A	63036	ENSG00000142615		Abdominal obesity-metabolic syndrome 4, 618620 (3), Autosomal dominant	Cela2a (MGI:95316)
1	16348530	16360544	chr1	16022035	16034049	1p36	1p36.13	602024	CLCNKA	Chloride channel, kidney, A	CLCNKA	1187	ENSG00000186510	11kb from CLCNKB; simultaneous mutation in CLCNKA and CLCNKB	Bartter syndrome, type 4b, digenic, 613090 (3), Digenic recessive	Clcnkb (MGI:1930643)
1	16370276	16383820	chr1	16043781	16057325	1p36	1p36.13	602023	CLCNKB	Chloride channel, kidney, B	CLCNKB	1188	ENSG00000184908	unequal crossingover with CLCNKA	Bartter syndrome, type 3, 607364 (3), Autosomal recessive; Bartter syndrome, type 4b, digenic, 613090 (3), Digenic recessive	Clcnka (MGI:1329026)
1	16450831	16482598	chr1	16124336	16156103	1p36.1	1p36.13	176946	EPHA2, ECK, CTPP1, CTPA, ARCC2, CTRCT6	Ephrin receptor EphA2	EPHA2	1969	ENSG00000142627		Cataract 6, multiple types, 116600 (3), Autosomal dominant	Epha2 (MGI:95278)
1	17312452	17338466	chr1	16985957	17011971	1p36	1p36.13	610513	ATP13A2, PARK9, KRPPD, SPG78	ATPase, type 13A2	ATP13A2	23400	ENSG00000159363	mutation identified in 1 family with CLN12	Kufor-Rakeb syndrome, 606693 (3), Autosomal recessive; Spastic paraplegia 78, autosomal recessive, 617225 (3), Autosomal recessive	Atp13a2 (MGI:1922022)
1	17345216	17380526	chr1	17018721	17054031	1p36.1-p35	1p36.13	185470	SDHB, SDH2, SDHIP, PGL4	Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	SDHB	6390	ENSG00000117118	1 of 2 polypeptides	Gastrointestinal stromal tumor, 606764 (3), Autosomal dominant, Isolated cases; Pheochromocytoma, 171300 (3), Autosomal dominant; Paragangliomas 4, 115310 (3), Autosomal dominant; Paraganglioma and gastric stromal sarcoma, 606864 (3)	Sdhb (MGI:1914930)
1	17575573	17610727	chr1	17249078	17284232	1p36.13	1p36.13	606755	PADI3, UHS1	Peptidylarginine deiminase, type III	PADI3	51702	ENSG00000142619		Uncombable hair syndrome, 191480 (3), Autosomal recessive	Padi3 (MGI:1338891)
1	17634689	17690498	chr1	17308194	17364003	1p36.13	1p36.13	605347	PADI4, PADI5, PAD	Peptidylarginine deiminase, type IV	PADI4	23569	ENSG00000159339		{Rheumatoid arthritis, susceptibility to}, 180300 (3)	Padi4 (MGI:1338898)
1	17698690	17728194	chr1	17372195	17401698	1p36.13	1p36.13	610363	PADI6, PREMBL2	Peptidylarginine deiminase, type VI	PADI6	353238	ENSG00000276747		Preimplantation embryonic lethality 2, 617234 (3), Autosomal recessive	Padi6 (MGI:2655198)
1	18957339	19075359	chr1	18630845	18748865	1p36.2-p36.12	1p36.13	167410	PAX7, RMS2, MYOSCO	Paired box gene 7	PAX7	5081	ENSG00000009709	fused with FKHR in rhabdomyosarcoma	Myopathy, congenital, progressive, with scoliosis, 618578 (3), Autosomal recessive; Rhabdomyosarcoma 2, alveolar, 268220 (3), Somatic mutation	Pax7 (MGI:97491)
1	19197923	19229292	chr1	18871429	18902798	1p36	1p36.13	606811	ALDH4A1, ALDH4, P5CDH	Aldehyde dehydrogenase 4 family, member A1 (delta-1-pyrroline 5-carboxylate dehydrogenase)	ALDH4A1	8659	ENSG00000159423		Hyperprolinemia, type II, 239510 (3), Autosomal recessive	Aldh4a1 (MGI:2443883)
1	19542153	19578017	chr1	19215659	19251523	1p36.13	1p36.13	616846	EMC1, KIAA0090, CAVIPMR	Endoplasmic reticulum membrane protein complex, subunit 1	EMC1	23065	ENSG00000127463		Cerebellar atrophy, visual impairment, and psychomotor retardation, 616875 (3), Autosomal recessive	Emc1 (MGI:2443696)
1	20301923	20306926	chr1	19975430	19980433	1p35	1p36.13	172411	PLA2G2A, PLA2B, PLA2L, MOM1	Phospholipase A2, group IIA, platelets, synovial fluid	PLA2G2A	5320	ENSG00000188257	germline mutation identified in 1 CRC patient	{?Colorectal cancer, susceptibility to}, 114500 (3), Autosomal dominant, Somatic mutation	
1	20354841	20418403	chr1	20028348	20091910	1p36-p34	1p36.13	601192	PLA2G5, FRFB	Phospholipase A2, group V	PLA2G5	5322	ENSG00000127472		[Fleck retina, familial benign], 228980 (3), Autosomal recessive	Pla2g5 (MGI:101899)
1	20959950	20978003	chr1	20633457	20651510	1p36	1p36.12	608309	PINK1, PARK6	PTEN-induced putative kinase 1	PINK1	65018	ENSG00000158828		Parkinson disease 6, early onset, 605909 (3), Autosomal recessive	Pink1 (MGI:1916193)
1	20978269	20987861	chr1	20651776	20661368	1p36.1	1p36.12	602202	DDOST, OST, OST48, CDG1R	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase	DDOST	1650	ENSG00000244038	mutation (cmpd het) identified in 1 CDG1R patient	?Congenital disorder of glycosylation, type Ir, 614507 (3), Autosomal recessive	Ddost (MGI:1194508)
